,Company name Latin alphabet,BvD ID number,"DM
Full name","DM
UCI (Unique Contact Identifier)","DM
Current or previous","DM
Type of role","DM
Board, committee or department"
,,,Mr Mark Beddows Dunkerley,P012726494,Current,AudC,Audit Committee
,,,Mr Mark Beddows Dunkerley,P012726494,Current,"NomC,CoGoC",Nomination Committee; Corporate Governance Committee
,,,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,BoD,Board of Directors
,,,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,ExeC,Executive Committee
,,,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,SenMan,Senior management
,,,Mr Stephan Gemkow,P014141492,Current,BoD,Board of Directors
,,,Mr Stephan Gemkow,P014141492,Current,AudC,Audit Committee
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,BoD,Board of Directors
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,AudC,Audit Committee
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Ms Maria Amparo Moraleda,P041182840,Current,BoD,Board of Directors
,,,Ms Maria Amparo Moraleda,P041182840,Current,"NomC,CoGoC",Nomination Committee; Corporate Governance Committee
,,,Ms Maria Amparo Moraleda,P041182840,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Ms Claudia Nemat,P112272506,Current,BoD,Board of Directors
,,,Ms Claudia Nemat,P112272506,Current,"NomC,CoGoC",Nomination Committee; Corporate Governance Committee
,,,Mr Rene Richard Obermann,P014144573,Current,BoD,Board of Directors
,,,Ms Irene Rummelhoff,P059724033,Current,BoD,Board of Directors
,,,Ms Irene Rummelhoff,P059724033,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Mr Jan-Marcus Hinz,P263079678,Current,SupB,Supervisory Board
,,,Dr. Michael Schoellhorn,P468855899,Current,SupB,Supervisory Board
,,,Dr. Michael Schoellhorn,P468855899,Current,ExeC,Executive Committee
,,,Dipl.-Ing. Univ. Dominik Asam,P058699685,Current,ExeC,Executive Committee
,,,Dipl.-Ing. Univ. Dominik Asam,P058699685,Current,FinAcc,Finance & Accounting
,,,Mr Thierry Baril,P049029249,Current,ExeC,Executive Committee
,,,Mr Thierry Baril,P049029249,Current,HR,Human Resources (HR)
,,,Mr Antoine Francois Marie Bouvier,P409072811,Current,ExeC,Executive Committee
,,,Mr Antoine Francois Marie Bouvier,P409072811,Current,"Proc,GovAff",Purchasing & Procurement; Public & Government Affairs
,,,Mr Bruno Claude Even,P061440432,Current,ExeC,Executive Committee
,,,Mr Alberto Gutierrez,P042161911,Current,ExeC,Executive Committee
,,,Mr Alberto Gutierrez,P042161911,Current,Oper,Operations & Production & Manufacturing
,,,Mr John L Harrison III,P636182197,Current,ExeC,Executive Committee
,,,Mr John L Harrison III,P636182197,Current,SenMan,Senior management
,,,Mr John L Harrison III,P636182197,Current,LegDep,Legal/Compliance/Risk department
,,,Ms Catherine Jestin,P695674276,Current,ExeC,Executive Committee
,,,Ms Catherine Jestin,P695674276,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Ms Julie Catherine Mary Kitcher,P464319223,Current,ExeC,Executive Committee
,,,Ms Julie Catherine Mary Kitcher,P464319223,Current,"SenMan,MarkAdv",Senior management; Marketing & Advertising
,,,Ms Sabine Klauke,P468855904,Current,ExeC,Executive Committee
,,,Ms Sabine Klauke,P468855904,Current,R&D,Research & Development / Engineering
,,,Mr C. Jeffrey J Knittel,P370570324,Current,ExeC,Executive Committee
,,,Mr Philippe Andre Louis Jean-Claude Mhun,P452115795,Current,ExeC,Executive Committee
,,,Mr Philippe Andre Louis Jean-Claude Mhun,P452115795,Current,OthDep,Other or unspecified department
,,,Mr Christian Scherer,P373461419,Current,ExeC,Executive Committee
,,,Mr Christian Scherer,P373461419,Current,Sales,Sales & Retail
,,,Mr George Xu,P468855900,Current,ExeC,Executive Committee
,,,Mr Thorsten Berger,P698397066,Current,Proxy,Proxyholders
,,,Dr. Joachim Betker,P460533986,Current,Proxy,Proxyholders
,,,Ms Angela Bronner,P349806621,Current,Proxy,Proxyholders
,,,Mr Marc Fischer,P698397064,Current,Proxy,Proxyholders
,,,Dr. Georg Mecke,P001066431,Current,Proxy,Proxyholders
,,,Walker Nawina,P682506642,Current,Proxy,Proxyholders
,,,Dr. Joerg Schuler,P668592595,Current,Proxy,Proxyholders
,,,Mr Carsten Sprenger,P698397067,Current,Proxy,Proxyholders
,,,Mr Volker Subatzus,P698397065,Current,Proxy,Proxyholders
,,,Mr Frithjof Weber,P691826561,Current,Proxy,Proxyholders
,,,Ms Claudia Dreyer-Langlet,P691826547,Current,SenMan,Senior management
,,,Mr Thorsten Fischer,P118535992,Current,SenMan,Senior management
,,,Mr Marco Wagner,P164461040,Current,SenMan,Senior management
,,,Mr Gerd Weber,P262990881,Current,SenMan,Senior management
10.,SAFRAN AIRCRAFT ENGINES,FR414815217,Mr Jean-Paul Daniel Alary,P048876896,Current,BoD,Board of Directors
,,,Mr Jean-Paul Daniel Alary,P048876896,Current,SenMan,Senior management
,,,Ms Cecile Armange,P690023577,Current,SenMan,Senior management
,,,Mr Francois Bastin,P273212406,Current,SenMan,Senior management
,,,Mr Francois Bastin,P273212406,Current,Sales,Sales & Retail
,,,Mr Michel Daniel Marie Bernou,P080929543,Current,SenMan,Senior management
,,,Mr Michel Daniel Marie Bernou,P080929543,Current,SenMan,Senior management
,,,Mr Michel Daniel Marie Bernou,P080929543,Current,FinAcc,Finance & Accounting
,,,Mr Michel Daniel Marie Bernou,P080929543,Current,LegDep,Legal/Compliance/Risk department
,,,Mr Christophe Bruneau,P632074295,Current,SenMan,Senior management
,,,Mr Christophe Bruneau,P632074295,Current,OthDep,Other or unspecified department
,,,Mr Eric Masse,P076368528,Current,SenMan,Senior management
,,,Mr Francois Planaud,P032254514,Current,SenMan,Senior management
,,,Mr Francois Planaud,P032254514,Current,OthDep,Other or unspecified department
,,,Mr Claude Quillien,P385259146,Current,SenMan,Senior management
,,,Mr Claude Quillien,P385259146,Current,Oper,Operations & Production & Manufacturing
,,,Ms Nathalie Lankry - Pariente,P121894815,Current,SenMan,Senior management
,,,Ms Nathalie Lankry - Pariente,P121894815,Current,MarkAdv,Marketing & Advertising
,,,Ms Sabine Lopez-Haman,P237417589,Current,HR,Human Resources (HR)
,,,"Mr Philippe, Jean Couteaux",P048742494,Current,Sales,Sales & Retail
,,,Mr Michel Antoine Brioude,P079866470,Current,R&D,Research & Development / Engineering
,,,Ms Benedicte Bonnet,P735307084,Current,"Qual,IT&IS",Quality Assurance; Information Technology (IT) & Information Systems (IS)
,,,Ms Marjolaine Grange,P273209324,Current,Qual,Quality Assurance
,,,Mr Dominique Dupuy,P116615454,Current,Proc,Purchasing & Procurement
,,,Ms Janet Dekker,P689637251,Current,OthDep,Other or unspecified department
11.,BAE SYSTEMS (OPERATIONS) LIMITED,GB01996687,Sir Roger Martyn Carr,P004031761,Current,BoD,Board of Directors
,,,Mr Nicholas (Nick) J Anderson,P109091766,Current,BoD,Board of Directors
,,,Mr Thomas Arnold Arseneault,P223146246,Current,BoD,Board of Directors
,,,Mr Thomas Arnold Arseneault,P223146246,Current,ExeC,Executive Committee
,,,Ms Crystal E. Ashby,P697391404,Current,BoD,Board of Directors
,,,Dame Dame Elizabeth Pauline Lucy Corley,P259846808,Current,BoD,Board of Directors
,,,Mr Thomas Fillingham,P462163678,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Bradley Madsen Greve,P513538303,Current,BoD,Board of Directors
,,,Mr Bradley Madsen Greve,P513538303,Current,ExeC,Executive Committee
,,,Mr Bradley Madsen Greve,P513538303,Current,FinAcc,Finance & Accounting
,,,Doctor Jane Veronica Griffiths,P037805901,Current,BoD,Board of Directors
,,,Mr Christopher Montague Grigg,P046967674,Current,BoD,Board of Directors
,,,Mr Paul Sybray Inman,P046541488,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Paul Sybray Inman,P046541488,Current,SenMan,Senior management
,,,Dr. Ewan Mckinnon Kirk,P005360872,Current,BoD,Board of Directors
,,,Mr Stephen Thomas Pearce,P216041145,Current,BoD,Board of Directors
,,,Ms Nicole Weyerhaeuser Piasecki,P462081841,Current,BoD,Board of Directors
,,,Mr Clifford Mark Robson,P112270701,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Clifford Mark Robson,P112270701,Current,ExeC,Executive Committee
,,,Mr Clifford Mark Robson,P112270701,Current,OthDep,Other or unspecified department
,,,Mr Clifford Mark Robson,P112270701,Current,SenMan,Senior management
,,,Ms Andrea Jayne Thompson,P381221751,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Andrea Jayne Thompson,P381221751,Current,SenMan,Senior management
,,,Mr Michael John Wills,P056493554,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Dr. Charles Nicholas Woodburn,P074483544,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Dr. Charles Nicholas Woodburn,P074483544,Current,ExeC,Executive Committee
,,,Dr. Charles Nicholas Woodburn,P074483544,Current,SenMan,Senior management
,,,Mr David Iain Armstrong,P466773035,Current,ExeC,Executive Committee
,,,Mr David Iain Armstrong,P466773035,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Simon Barnes,P736804258,Current,ExeC,Executive Committee
,,,Mr Simon Barnes,P736804258,Current,OthDep,Other or unspecified department
,,,Ms Gabby Costigan,P736804257,Current,ExeC,Executive Committee
,,,Ms Gabby Costigan,P736804257,Current,SenMan,Senior management
,,,Mr Julian Frederick Charles Cracknell,P368435576,Current,ExeC,Executive Committee
,,,Mr Julian Frederick Charles Cracknell,P368435576,Current,"R&D,IT&IS",Research & Development / Engineering; Information Technology (IT) & Information Systems (IS)
,,,Ms Tania Gandamihardja,P726866867,Current,ExeC,Executive Committee
,,,Ms Tania Gandamihardja,P726866867,Current,HR,Human Resources (HR)
,,,Mr Ed Gelsthorpe,P736804256,Current,ExeC,Executive Committee
,,,Mr Ed Gelsthorpe,P736804256,Current,LegDep,Legal/Compliance/Risk department
,,,Ms Karin Hoeing,P688750905,Current,ExeC,Executive Committee
,,,Ms Karin Hoeing,P688750905,Current,OthDep,Other or unspecified department
,,,Mr Benjamin James Hudson,P239159744,Current,ExeC,Executive Committee
,,,Mr Benjamin James Hudson,P239159744,Current,PMPMan,Product/Project/Market Management
,,,Mr Glynn Stuart Phillips,P047678222,Current,ExeC,Executive Committee
,,,Mr Glynn Stuart Phillips,P047678222,Current,OthDep,Other or unspecified department
,,,Mr David Stanley Parkes,P056980501,Current,SenMan,Senior management
,,,Ms Claire Brown,P632407516,Current,SenMan,Senior management
,,,Mr Doug Cronshaw,P735932259,Current,SenMan,Senior management
,,,Mr Martin Mccann,P048371316,Current,SenMan,Senior management
,,,Mr Stuart Palin,P735932257,Current,SenMan,Senior management
,,,Mr Stan Roper,P725653442,Current,"SenMan,AdmDep",Senior management; Administration department
,,,Mr Martin Taylor,P215405461,Current,SenMan,Senior management
,,,Ms Sabina Walters,P725653396,Current,"SenMan,AdmDep",Senior management; Administration department
,,,Ms Alison Bretherton,P670795739,Current,AdmDep,Administration department
,,,Abi Tomney,P701661568,Current,AdmDep,Administration department
,,,Mr Chris Skinner,P694822992,Current,R&D,Research & Development / Engineering
,,,Mr Ian Hindmarsh,P735932816,Current,R&D,Research & Development / Engineering
,,,Mr James Maltby,P725653334,Current,R&D,Research & Development / Engineering
,,,Mr Lee James Penford,P209619674,Current,Oper,Operations & Production & Manufacturing
,,,Mr Paul Scantlebury,P725653430,Current,Oper,Operations & Production & Manufacturing
,,,Mr Matt Torbett,P690745234,Current,Oper,Operations & Production & Manufacturing
,,,Mr Ross Eggleton,P725653355,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Andy Gough,P632310812,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Claus Soegaard-Christensen,P002020817,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Ms Elaine Downing,P725653347,Current,OthDep,Other or unspecified department
,,,Ms Charlotte Furby,P725653433,Current,OthDep,Other or unspecified department
,,,Mr Nick Haigh,P701472994,Current,OthDep,Other or unspecified department
,,,Mr Bob Homer,P735932806,Current,OthDep,Other or unspecified department
,,,Mr John Mulley,P725653345,Current,OthDep,Other or unspecified department
,,,Mr Malcolm Rich,P735932815,Current,OthDep,Other or unspecified department
,,,Mr Mark Spore,P735932813,Current,OthDep,Other or unspecified department
,,,Ms Ann Stallard,P670795740,Current,OthDep,Other or unspecified department
,,,Mr Stephen Tiley,P735932814,Current,OthDep,Other or unspecified department
,,,Mr Tommy Vaughan,P735932260,Current,OthDep,Other or unspecified department
,,,Mr Colin Whalley,P694902399,Current,OthDep,Other or unspecified department
,,,Mr Andrew Wigmore,P725653443,Current,OthDep,Other or unspecified department
12.,DASSAULT AVIATION,FR712042456,Mr Charles Edelstenne,P002805710,Current,BoD,Board of Directors
,,,Mr Eric Joel Trappier,P013929023,Current,BoD,Board of Directors
,,,Mr Eric Joel Trappier,P013929023,Current,ExeC,Executive Committee
,,,Mr Eric Joel Trappier,P013929023,Current,SenMan,Senior management
,,,Ms Besma Boumaza,P626574212,Current,BoD,Board of Directors
,,,Mr Thierry Dassault,P038947308,Current,BoD,Board of Directors
,,,Ms Marie Helene Habert-Dassault,P052814776,Current,BoD,Board of Directors
,,,Mr Stephane Marty,P683702651,Current,BoD,Board of Directors
,,,Mr Henri Edouard Proglio,P002969243,Current,BoD,Board of Directors
,,,Ms Lucia Sinapi Thomas,P043459168,Current,BoD,Board of Directors
,,,Mr Carlos Brana,P270847292,Current,ExeC,Executive Committee
,,,Mr Carlos Brana,P270847292,Current,OthDep,Other or unspecified department
,,,Mr Bruno Chevalier,P300875409,Current,ExeC,Executive Committee
,,,Mr Bruno Chevalier,P300875409,Current,CustSv,Customer Service
,,,Mr Bruno Coiffier,P687965484,Current,ExeC,Executive Committee
,,,Mr Bruno Coiffier,P687965484,Current,Proc,Purchasing & Procurement
,,,Mr Denis Dasse,P064461845,Current,ExeC,Executive Committee
,,,Mr Denis Dasse,P064461845,Current,FinAcc,Finance & Accounting
,,,Mr Jean-Marc Gasparini,P385259128,Current,ExeC,Executive Committee
,,,Mr Jean-Marc Gasparini,P385259128,Current,SenMan,Senior management
,,,Mr Jean-Marc Gasparini,P385259128,Current,OthDep,Other or unspecified department
,,,Mr Florent Gateau,P699180276,Current,ExeC,Executive Committee
,,,Mr Florent Gateau,P699180276,Current,Qual,Quality Assurance
,,,Mr Gerard Giordano,P687965485,Current,ExeC,Executive Committee
,,,Mr Gerard Giordano,P687965485,Current,Sales,Sales & Retail
,,,Mr Bruno Giorgianni,P385259168,Current,ExeC,Executive Committee
,,,Mr Bruno Giorgianni,P385259168,Current,SenMan,Senior management
,,,Mr Bruno Giorgianni,P385259168,Current,SenMan,Senior management
,,,Mr Bruno Giorgianni,P385259168,Current,"Health,GovAff",Health & Safety; Public & Government Affairs
,,,Ms Valerie Guillemet,P626533882,Current,ExeC,Executive Committee
,,,Ms Valerie Guillemet,P626533882,Current,HR,Human Resources (HR)
,,,Mr Richard Jean Lavaud,P215391411,Current,ExeC,Executive Committee
,,,Mr Richard Jean Lavaud,P215391411,Current,PMPMan,Product/Project/Market Management
,,,Mr Frederic Lherm,P385259165,Current,ExeC,Executive Committee
,,,Mr Frederic Lherm,P385259165,Current,Oper,Operations & Production & Manufacturing
,,,Mr Nicolas Mojaisky,P626533881,Current,ExeC,Executive Committee
,,,Mr Nicolas Mojaisky,P626533881,Current,R&D,Research & Development / Engineering
,,,Mr Jean Sass,P130655627,Current,ExeC,Executive Committee
,,,Mr Jean Sass,P130655627,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Loik Segalen,P051801337,Current,ExeC,Executive Committee
,,,Mr Loik Segalen,P051801337,Current,SenMan,Senior management
,,,Mr Loik Segalen,P051801337,Current,Oper,Operations & Production & Manufacturing
,,,Ms Cecile Giraud,P437301514,Current,SenMan,Senior management
,,,Mr Stephane Fort,P356781764,Current,SenMan,Senior management
,,,Mr Jean-Yves Petit,P143832185,Current,HR,Human Resources (HR)
,,,Mr Olivier Zuber,P238189970,Current,Sales,Sales & Retail
,,,Mr Francois Chamberland,P437301512,Current,Proc,Purchasing & Procurement
,,,Mr Frederic Petit,P385259167,Current,OthDep,Other or unspecified department
13.,MTU AERO ENGINES AG,DE8170664388,Mr Klaus Fritz Eberhardt,P247281636,Current,SupB,Supervisory Board
,,,Mr Josef Mailer,P001870969,Current,SupB,Supervisory Board
,,,Mr Josef Mailer,P001870969,Current,SupB,Supervisory Board
,,,Mr Josef Mailer,P001870969,Current,SpecPos,Other specific positions
,,,Mr Roberto Armellini,P168740339,Current,SupB,Supervisory Board
,,,Dr. Christine Maria Bortenlaenger,P039654698,Current,SupB,Supervisory Board
,,,Mr Thomas Dautl,P039658729,Current,SupB,Supervisory Board
,,,Ms Babette Froehlich,P014141374,Current,SupB,Supervisory Board
,,,Dr. Juergen Michael Geissinger,P014141478,Current,SupB,Supervisory Board
,,,Ms Anita Heimerl,P447426092,Current,SupB,Supervisory Board
,,,Dr. Martin Kimmich,P095942469,Current,SupB,Supervisory Board
,,,Ms Heike Madan,P347063923,Current,SupB,Supervisory Board
,,,Dr. Rainer Martens,P039043660,Current,SupB,Supervisory Board
,,,Dr. Joachim Rauhut,P011034822,Current,SupB,Supervisory Board
,,,Prof. Dr. Ing. Klaus Steffens,P001971995,Current,SupB,Supervisory Board
,,,Univ.-Prof. Dr. Marion A Weissenbergereibl,P150244377,Current,SupB,Supervisory Board
,,,Mr Michael Winkelmann,P667904596,Current,SupB,Supervisory Board
,,,Mr Michael Winkelmann,P667904596,Current,SpecPos,Other specific positions
,,,Mr Peter Kameritsch,P245648711,Current,ExeB,Executive Board
,,,Mr Peter Kameritsch,P245648711,Current,ExeC,Executive Committee
,,,Mr Peter Kameritsch,P245648711,Current,"FinAcc,IT&IS",Finance & Accounting; Information Technology (IT) & Information Systems (IS)
,,,Mr Michael Josef Schreyoegg,P168312107,Current,ExeB,Executive Board
,,,Mr Michael Josef Schreyoegg,P168312107,Current,ExeC,Executive Committee
,,,Mr Michael Josef Schreyoegg,P168312107,Current,PMPMan,Product/Project/Market Management
,,,Mr Michael Josef Schreyoegg,P168312107,Current,OthDep,Other or unspecified department
,,,Mr Lars Wagner,P300048133,Current,ExeB,Executive Board
,,,Mr Lars Wagner,P300048133,Current,ExeC,Executive Committee
,,,Mr Lars Wagner,P300048133,Current,Oper,Operations & Production & Manufacturing
,,,Mr Reiner Winkler,P039043659,Current,ExeB,Executive Board
,,,Mr Reiner Winkler,P039043659,Current,ExeC,Executive Committee
,,,Mr Reiner Winkler,P039043659,Current,SenMan,Senior management
,,,Mr Reiner Winkler,P039043659,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Uwe Boehm,P461322481,Current,Proxy,Proxyholders
,,,Mr Klaus Guenther,P409118482,Current,Proxy,Proxyholders
,,,Mr Hans-Peter Kleitsch,P039654660,Current,Proxy,Proxyholders
,,,Mr Theodor Pregler,P264921315,Current,Proxy,Proxyholders
,,,Mr Frank Tscheuschner,P117522026,Current,Proxy,Proxyholders
,,,Mr Thomas Frank,P648885608,Current,SenMan,Senior management
,,,Ms Claudia Heinle,P696762931,Current,SenMan,Senior management
,,,Mr Matthias Spies,P696762933,Current,SenMan,Senior management
,,,Mr Eckhard Zanger,P183163179,Current,MarkAdv,Marketing & Advertising
,,,Mr Herbert Rauch,P418119231,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
14.,AIRBUS HELICOPTERS,FR352383715,Mr Bruno Claude Even,P061440432,Current,BoD,Board of Directors
,,,Mr Bruno Claude Even,P061440432,Current,ExeC,Executive Committee
,,,Mr Bruno Claude Even,P061440432,Current,SenMan,Senior management
,,,Mr Rene Richard Obermann,P014144573,Current,BoD,Board of Directors
,,,"Mr Lap Lik, Victor Chu",P014140427,Current,BoD,Board of Directors
,,,"Mr Lap Lik, Victor Chu",P014140427,Current,AudC,Audit Committee
,,,Mr Jean-Pierre Luc Clamadieu,P013664847,Current,BoD,Board of Directors
,,,Mr Jean-Pierre Luc Clamadieu,P013664847,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Mr Jean-Pierre Luc Clamadieu,P013664847,Current,OthDep,Other or unspecified department
,,,Jr. Ralph Dozier Crosby Jr.,P100868603,Current,BoD,Board of Directors
,,,Jr. Ralph Dozier Crosby Jr.,P100868603,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Doctor Lord Paul Rudd Drayson,P045735249,Current,BoD,Board of Directors
,,,Doctor Lord Paul Rudd Drayson,P045735249,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Doctor Lord Paul Rudd Drayson,P045735249,Current,OthDep,Other or unspecified department
,,,Mr Mark Beddows Dunkerley,P012726494,Current,BoD,Board of Directors
,,,Mr Mark Beddows Dunkerley,P012726494,Current,AudC,Audit Committee
,,,Mr Michel Farssac,P234138350,Current,BoD,Board of Directors
,,,Mr Michel Farssac,P234138350,Current,ExeC,Executive Committee
,,,Mr Michel Farssac,P234138350,Current,HR,Human Resources (HR)
,,,Mr Stephan Gemkow,P014141492,Current,BoD,Board of Directors
,,,Mr Stephan Gemkow,P014141492,Current,AudC,Audit Committee
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,BoD,Board of Directors
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,AudC,Audit Committee
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Dr. Gerlinde Sibylla Honold Dorochevsky,P039656410,Current,BoD,Board of Directors
,,,Dr. Gerlinde Sibylla Honold Dorochevsky,P039656410,Current,FinAcc,Finance & Accounting
,,,Ms Maria Amparo Moraleda,P041182840,Current,BoD,Board of Directors
,,,Ms Maria Amparo Moraleda,P041182840,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Ms Maria Amparo Moraleda,P041182840,Current,OthDep,Other or unspecified department
,,,Ms Claudia Nemat,P112272506,Current,BoD,Board of Directors
,,,Ms Claudia Nemat,P112272506,Current,OthDep,Other or unspecified department
,,,Mr Michel Polychroniadis,P051732849,Current,BoD,Board of Directors
,,,Mr Michel Polychroniadis,P051732849,Current,OthDep,Other or unspecified department
,,,Mr Carlos Tavares,P014138300,Current,BoD,Board of Directors
,,,Mr Benedict Lenthall Bridge,P349510565,Current,ExeC,Executive Committee
,,,Mr Benedict Lenthall Bridge,P349510565,Current,OthDep,Other or unspecified department
,,,Mr Thomas Hundt,P061939256,Current,ExeC,Executive Committee
,,,Mr Thomas Hundt,P061939256,Current,FinAcc,Finance & Accounting
,,,Mr Matthieu Louvot,P093798072,Current,ExeC,Executive Committee
,,,Mr Matthieu Louvot,P093798072,Current,CustSv,Customer Service
,,,Mr Matthieu Louvot,P093798072,Current,OthDep,Other or unspecified department
,,,Mr Laurent Mazoue,P697969632,Current,ExeC,Executive Committee
,,,Mr Laurent Mazoue,P697969632,Current,Oper,Operations & Production & Manufacturing
,,,Ms Mathilde Royer-Germain,P438359157,Current,ExeC,Executive Committee
,,,Ms Mathilde Royer-Germain,P438359157,Current,SenMan,Senior management
,,,Ms Mathilde Royer-Germain,P438359157,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Ms Mathilde Royer-Germain,P438359157,Current,OthDep,Other or unspecified department
,,,Dr. Wolfgang Schoder,P039650352,Current,ExeC,Executive Committee
,,,Dr. Wolfgang Schoder,P039650352,Current,SenMan,Senior management
,,,Dr. Wolfgang Schoder,P039650352,Current,OthDep,Other or unspecified department
,,,Dr. Wolfgang Schoder,P039650352,Current,SpecPos,Other specific positions
,,,Mr Stefan Thome,P344342142,Current,ExeC,Executive Committee
,,,Mr Stefan Thome,P344342142,Current,R&D,Research & Development / Engineering
,,,Mr Bernhard Weigl,P332738621,Current,ExeC,Executive Committee
,,,Mr Bernhard Weigl,P332738621,Current,Qual,Quality Assurance
,,,Mr Bernhard Weigl,P332738621,Current,Health,Health & Safety
,,,Mr Christoph Zammert,P597226081,Current,ExeC,Executive Committee
,,,Mr Christoph Zammert,P597226081,Current,CustSv,Customer Service
,,,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,SenMan,Senior management
,,,Mr Dominique Andreani,P335672977,Current,SenMan,Senior management
,,,Mr Guillaume Steuer,P287615155,Current,SenMan,Senior management
,,,Cdr Brian A. Potter,P702355386,Current,"HR,LegDep",Human Resources (HR); Legal/Compliance/Risk department
,,,Mr Jean-Pascal Meo,P127974834,Current,LegDep,Legal/Compliance/Risk department
,,,Mr Alain Flourens,P344628450,Current,OthDep,Other or unspecified department
15.,AIRBUS OPERATIONS LIMITED,GB03468788,Mr Christophe Bardin,P129713834,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Christophe Bardin,P129713834,Current,SenMan,Senior management
,,,Dr John Conacher Harrison,P732555800,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Paul Malcolm McKinlay,P692457969,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Robert Mark Stewart,P049375628,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Robert Mark Stewart,P049375628,Current,SenMan,Senior management
,,,Mr Robert Mark Stewart,P049375628,Current,OthDep,Other or unspecified department
,,,Ms Alison Louise Adams,P049491121,Current,SenMan,Senior management
,,,Mr Mark Catley,P735580601,Current,"SenMan,AdmDep",Senior management; Administration department
,,,Mr John Farrington,P735580239,Current,"SenMan,AdmDep",Senior management; Administration department
,,,Mr Nicholas Ling,P670736666,Current,FinAcc,Finance & Accounting
,,,Mr Paul Beck,P457687395,Current,AdmDep,Administration department
,,,Ms Julie Carey,P646486554,Current,AdmDep,Administration department
,,,Alli Carruthers,P679567706,Current,AdmDep,Administration department
,,,Mr Noel Green,P670736611,Current,AdmDep,Administration department
,,,Ms Sarah Hooper,P670736612,Current,AdmDep,Administration department
,,,Ms Liz Lewis,P679567690,Current,AdmDep,Administration department
,,,Anderson Lorraine,P679567703,Current,AdmDep,Administration department
,,,Mr Val Sadighiani,P457686709,Current,AdmDep,Administration department
,,,Mr Berni Stevenson,P632335893,Current,AdmDep,Administration department
,,,Ms Penny Turner,P457687404,Current,AdmDep,Administration department
,,,Mr Gavin Williams,P457687362,Current,AdmDep,Administration department
,,,Ms Emma Critchlow,P632335948,Current,HR,Human Resources (HR)
,,,Ms Kate Hollis,P670737056,Current,HR,Human Resources (HR)
,,,Mr James Upton,P457687364,Current,Sales,Sales & Retail
,,,Jordan Boswelljones,P670313706,Current,R&D,Research & Development / Engineering
,,,Mr Andrew Hewitt,P632396931,Current,R&D,Research & Development / Engineering
,,,Mr Michael Lafferty,P632334767,Current,R&D,Research & Development / Engineering
,,,Mr Michael Maxwell,P670737091,Current,R&D,Research & Development / Engineering
,,,Mr Richard Monkman,P632335257,Current,R&D,Research & Development / Engineering
,,,Mr Andrew Scambler,P632396930,Current,R&D,Research & Development / Engineering
,,,Mr Llifon Williams,P670871347,Current,R&D,Research & Development / Engineering
,,,Mr Lewis Williams,P694495571,Current,R&D,Research & Development / Engineering
,,,Mr David Anglezi,P735580597,Current,R&D,Research & Development / Engineering
,,,Mr Chris Barker,P457686735,Current,R&D,Research & Development / Engineering
,,,Mr Frederick Berg,P735580598,Current,R&D,Research & Development / Engineering
,,,Mr Mark Bosustow,P457686621,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Matthew Bourne,P690387207,Current,R&D,Research & Development / Engineering
